tab,title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
Riigikogu,Member of the Riigikogu,2019-04-04,Q62976151,Maria Jufereva-Skuratovski,female,1979-10-11,11,,,
Riigikogu,Member of the Riigikogu,2019-04-04,Q704436,Jüri Jaanson,male,1965-10-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RE%20J%C3%BCri%20Jaanson.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q1594612,Heiki Kranich,male,1961-10-09,11,,,
Riigikogu,Member of the Riigikogu,2019-04-04,Q1789192,Kristen Michal,male,1975-07-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kristen%20Michal.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q3735691,Eerik-Niiles Kross,male,1967-09-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kross%2C%20Eerik-Niiles.IMG%202106.JPG
Riigikogu,Member of the Riigikogu,2019-04-04,Q3739506,Üllar Saaremäe,male,1969-11-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Saarem%C3%A4e%20%C3%9Cllar.IMG%203346.JPG
Riigikogu,Member of the Riigikogu,2019-04-04,Q11158997,Sven Sester,male,1969-07-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/IRL%20Sven%20Sester.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12358481,Aivar Sõerd,male,1964-11-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RE%20Aivar%20S%C3%B5erd.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12365130,Jevgeni Ossinovski,male,1986-03-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/SDE%20Jevgeni%20Ossinovski.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12369791,Marika Tuus-Laul,female,1951-05-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/KE%20Marika%20Tuus.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12378637,Viktor Vassiljev,male,1953-04-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/KE%20Viktor%20Vassiljev.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q13608089,Aivar Kokk,male,1960-04-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/IRL%20Aivar%20Kokk.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q20933560,Martin Repinski,male,1986-08-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Martin%20Repinski.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q156469,Siim Kallas,male,1948-10-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Siim%20Kallas%2C%20arvamusfestival%202014.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q460589,Vilja Toomast,female,1962-08-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Vilja%20Savisaar-Toomast.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q1398025,Ivari Padar,male,1965-03-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ivari%20Padar%20at%20Laulupidu%20cropped.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12376376,Tarmo Tamm,male,1953-12-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/KE%20Tarmo%20Tamm.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q16403802,Madis Milling,male,1970-11-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Madis%20Milling.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q16404493,Heidy Purga,female,1975-03-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Heidy%20Purga.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q16405450,Viktoria Ladõnskaja-Kubits,female,1981-07-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Viktoria%20Lad%C3%B5nskaja.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q16406227,Raivo E. Tamm,male,1965-07-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Raivo%20E%20Tamm.IMG%2020200614%20120053.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q16406609,Urmas Reitelmann,male,1958-07-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Urmas%20Reitelmann.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q20528493,Erki Savisaar,male,1978-06-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Erki%20Savisaar.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q29419731,Paul Puustusmaa,male,1964-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Puustusmaa.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q42889094,Erkki Keldo,male,1990-11-07,11,,,
Riigikogu,Member of the Riigikogu,2019-04-04,Q2285186,Signe Kivi,female,1957-02-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Baltijas%20Asamblejas%2038.sesija%20%2849140855051%29.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q3744878,Leo Kunnas,male,1967-11-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Leo%20Kunnas.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12375092,Siret Kotka-Repinski,female,1986-07-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Siret%20Kotka.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q14483307,Heljo Pikhof,female,1958-10-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/SDE%20Heljo%20Pikhof.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q20528341,Uno Kaskpeit,male,1957-06-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Uno%20Kaskpeit.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q20933467,Dmitri Dmitrijev,male,1982-06-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Dmitri%20Dmitrijev.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q20933507,Jaanus Karilaid,male,1977-02-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Jaanus%20Karilaid.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q3736458,Ants Laaneots,male,1948-01-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Ants%20Laaneots.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q11857954,Enn Eesmaa,male,1946-06-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/KE%20Enn%20Eesmaa.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12363696,Hele Everaus,female,1953-01-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hele%20Everaus.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q13628736,Helmen Kütt,female,1961-07-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/SDE%20Helmen%20K%C3%BCtt.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q16404443,Tarmo Kruusimäe,male,1967-04-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kruusim%C3%A4e.%20IMG%2020200827%20180615.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q231327,Kristina Šmigun-Vähi,female,1977-02-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kristina%20%C5%A0migun%20Otep%C3%A4%C3%A4%20MK.JPG
Riigikogu,Member of the Riigikogu,2019-04-04,Q528974,Kaido Höövelson,male,1984-11-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Baruto%20Kaito%202008%20May.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q2012757,Mihhail Lotman,male,1952-09-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lotman%2C%20Mihhail.IMG%203151.JPG
Riigikogu,Member of the Riigikogu,2019-04-04,Q12358062,Aadu Must,male,1951-03-25,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/KE%20Aadu%20Must.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12359339,Anti Poolamets,male,1971-02-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anti%20Poolamets.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12364786,Jaak Valge,male,1955-03-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jaak%20Valge.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12377090,Toomas Kivimägi,male,1963-02-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Toomas%20Kivim%C3%A4gi.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q52704406,Riina Sikkut,female,1983-01-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Riina%20Sikkut.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q61111821,Siim Pohlak,male,1985-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/Siim%20Pohlak.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q62976243,Riho Breivel,male,1952-08-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Riho%20Breivel.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q724437,Helir-Valdor Seeder,male,1964-09-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Helir-Valdor%20Seeder.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q1399218,Hanno Pevkur,male,1977-04-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hanno%20Pevkur%2C%202011.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q1900847,Marko Mihkelson,male,1969-11-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/IRL%20Marko%20Mihkelson.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q3741812,Mihhail Stalnuhhin,male,1961-09-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/KE%20Mihhail%20Stalnuhhin.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q11032994,Urve Tiidus,female,1954-06-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RE%20Urve%20Tiidus.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12372782,Priit Sibul,male,1977-12-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Priit%20Sibul.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q20933540,Andres Metsoja,male,1978-11-25,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Andres%20Metsoja.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q28840779,Igor Kravtšenko,male,1973-03-28,11,,,
Riigikogu,Member of the Riigikogu,2019-04-04,Q618373,Annely Akkermann,female,1972-10-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/IRL%20Annely%20Akkermann.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q7909441,Valdo Randpere,male,1958-02-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RE%20Valdo%20Randpere.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12366267,Kalvi Kõva,male,1974-11-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/SDE%20Kalvi%20K%C3%B5va.jpg
Riigikogu,Member of the Riigikogu,2019-04-29,Q53998190,Natalia Malleus,female,1954-01-23,11,,,
Riigikogu,Member of the Riigikogu,2019-04-29,Q63473367,Heiki Hepner,male,1966-07-15,11,,,
Riigikogu,Member of the Riigikogu,2019-04-29,Q12371725,Oudekki Loone,female,1979-02-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Loone%2C%20Oudekki.IMG%205044.JPG
Riigikogu,Member of the Riigikogu,2019-04-29,Q4755832,Andrei Korobeinik,male,1980-11-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RE%20Andrei%20Korobeinik.jpg
Riigikogu,Member of the Riigikogu,2019-04-29,Q63473688,Peeter Rahnel,male,1957-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/Peeter%20Rahnel%20Mulgi%20peol%2026.05.2018.jpg
Riigikogu,Member of the Riigikogu,2019-06-12,Q72398401,Kalle Grünthal,male,1960-02-24,11,,,
Riigikogu,Member of the Riigikogu,2019-06-13,Q6109557,Jaak Juske,male,1976-12-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Juske%2C%20Jaak.20180308%20182216.jpg
Riigikogu,Member of the Riigikogu,2019-06-13,Q12368349,Lauri Läänemets,male,1983-01-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lauri%20L%C3%A4%C3%A4nemets.jpg
Riigikogu,Member of the Riigikogu,2019-09-13,Q28071329,Marko Šorin,male,1974-06-09,11,,,
Riigikogu,Member of the Riigikogu,2019-09-30,Q72398917,Mart Võrklaev,male,1984-05-30,11,,,
Riigikogu,Member of the Riigikogu,2019-10-26,Q62976082,Kert Kingo,female,1968-03-05,11,,,
Riigikogu,Member of the Riigikogu,2020-11-05,Q62934345,Rene Kokk,male,1980-03-04,11,,,
Riigikogu,Member of the Riigikogu,2020-11-10,Q1453245,Mart Helme,male,1949-10-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mart%20Helme.jpg
Riigikogu,Member of the Riigikogu,2020-11-22,Q449851,Mailis Reps,female,1975-01-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mailis%20Reps%202017-05-25.jpg
Riigikogu,Member of the Riigikogu,2020-12-16,Q16407265,Marko Torm,male,1980-03-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Marko%20Torm%20portree.jpg
Riigikogu,Member of the Riigikogu,2021-01-11,Q16407919,Eduard Odinets,male,1976-01-01,9,,,
Riigikogu,Member of the Riigikogu,2021-01-26,Q2621730,Jüri Ratas,male,1978-07-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%BCri%20Ratas%202017-05.jpg
Riigikogu,Member of the Riigikogu,2021-01-26,Q645970,Urmas Reinsalu,male,1975-06-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Urmas%20Reinsalu%202017-05-25%20%28cropped%29.jpg
Riigikogu,Member of the Riigikogu,2021-01-26,Q16405586,Alar Laneman,male,1962-05-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alar%20Laneman.jpg
Riigikogu,Member of the Riigikogu,2021-01-27,Q107335464,Õnne Pillak,female,1983-02-23,11,,,
Riigikogu,Member of the Riigikogu,2021-01-27,Q12369691,Margit Sutrop,female,1963-10-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Margit%20Sutrop%202014.JPG
Riigikogu,Member of the Riigikogu,2021-01-27,Q12369924,Martin Helme,male,1976-04-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Helme%2C%20Martin.IMG%206116.JPG
Riigikogu,Member of the Riigikogu,2021-01-27,Q12369996,Mati Raidma,male,1965-04-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RE%20Mati%20Raidma.jpg
Riigikogu,Member of the Riigikogu,2021-01-27,Q16404987,Toomas Järveoja,male,1961-04-23,11,,,
Riigikogu,Member of the Riigikogu,2021-01-27,Q20933595,Aivar Viidik,male,1968-04-09,11,,,
Riigikogu,Member of the Riigikogu,2021-01-27,Q107335392,Timo Suslov,male,1981-07-02,11,,,
Riigikogu,Member of the Riigikogu,2021-01-27,Q11023034,Ivi Eenmaa,female,1943-06-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Eenmaa%2C%20Ivi.IMG%200385.JPG
Riigikogu,Member of the Riigikogu,2021-01-28,Q107335485,Sulev Kannimäe,male,1955-06-16,11,,,
Riigikogu,Member of the Riigikogu,2021-03-06,Q544436,Tiiu Aro,female,1952-06-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Aro%20ja%20Tuisk.IMG%2020200625%20103514.jpg
Riigikogu,Member of the Riigikogu,2021-11-04,Q22041600,Anneli Ott,female,1976-05-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anneli%20Ott.jpg
